Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-06-22,1889.794434,1932.07,1867.88,1872.942993,1872.942993,8477657143,ETHUSD
2023-06-23,1872.540771,1932.53,1865.19,1892.862061,1892.862061,8290615074,ETHUSD
2023-06-24,1893.771973,1905.23,1867.81,1876.059692,1876.059692,5026191704,ETHUSD
2023-06-25,1875.849121,1929.08,1870.85,1900.506104,1900.506104,6937581709,ETHUSD
2023-06-26,1900.050293,1905.36,1840.22,1859.432861,1859.432861,8619702292,ETHUSD
2023-06-27,1859.346191,1911.31,1856.84,1889.703369,1889.703369,7686042202,ETHUSD
2023-06-28,1889.906494,1890.21,1822.1,1827.971191,1827.971191,7135265016,ETHUSD
2023-06-29,1828.059326,1876.53,1828.06,1852.227295,1852.227295,5677228612,ETHUSD
2023-06-30,1852.008423,1945.27,1831.28,1933.188965,1933.188965,12895131248,ETHUSD
2023-07-01,1933.323853,1942.7,1910.85,1924.565918,1924.565918,5136809625,ETHUSD
2023-07-02,1924.44812,1958.16,1895.91,1937.438354,1937.438354,6343966490,ETHUSD
2023-07-03,1937.883789,1974.78,1934.69,1955.38916,1955.38916,7858509087,ETHUSD
2023-07-04,1955.52417,1966.37,1932.61,1936.633545,1936.633545,5683423776,ETHUSD
2023-07-05,1936.796753,1942.43,1897.12,1910.588013,1910.588013,6034088075,ETHUSD
2023-07-06,1909.514038,1955.4,1901.67,1939.675659,1939.675659,6682600960,ETHUSD
2022-07-06,0.457668,0.46,0.45,0.462179,0.462179,622551308,ADAUSD
2022-07-07,0.46221,0.48,0.46,0.477812,0.477812,619107061,ADAUSD
2022-07-08,0.477817,0.49,0.46,0.467311,0.467311,827327238,ADAUSD
2022-07-09,0.46729,0.48,0.47,0.47876,0.47876,666827059,ADAUSD
2022-07-10,0.478771,0.48,0.46,0.46322,0.46322,612314122,ADAUSD
2022-07-11,0.463181,0.46,0.43,0.43552,0.43552,737643033,ADAUSD
2022-07-12,0.435581,0.44,0.42,0.417928,0.417928,707915451,ADAUSD
2022-07-13,0.417881,0.44,0.41,0.438108,0.438108,977278539,ADAUSD
2022-07-14,0.438057,0.44,0.42,0.441025,0.441025,861474952,ADAUSD
2022-07-15,0.441115,0.45,0.43,0.442456,0.442456,739541229,ADAUSD
2022-07-16,0.442445,0.46,0.43,0.45723,0.45723,653009372,ADAUSD
2022-07-17,0.457318,0.47,0.44,0.447353,0.447353,695937971,ADAUSD
2022-07-18,0.447415,0.5,0.45,0.492543,0.492543,1514608156,ADAUSD
2022-07-19,0.492078,0.52,0.47,0.515768,0.515768,1558576681,ADAUSD
2022-07-20,0.515801,0.55,0.49,0.491043,0.491043,1559480054,ADAUSD
2022-07-21,0.491071,0.5,0.48,0.500098,0.500098,929201777,ADAUSD
2022-07-22,0.500091,0.51,0.48,0.483946,0.483946,783147406,ADAUSD
2022-07-23,0.483727,0.52,0.48,0.517368,0.517368,837188756,ADAUSD
2022-07-24,0.51736,0.53,0.51,0.513814,0.513814,910596091,ADAUSD
2022-07-25,0.513763,0.51,0.48,0.47625,0.47625,747132740,ADAUSD
2022-07-26,0.476298,0.48,0.45,0.467607,0.467607,753266177,ADAUSD
2022-07-27,0.467713,0.51,0.46,0.510553,0.510553,1108377917,ADAUSD
2022-07-28,0.51058,0.52,0.49,0.513328,0.513328,1404871202,ADAUSD
2022-07-29,0.513228,0.54,0.51,0.523335,0.523335,1601170272,ADAUSD
2022-07-30,0.523219,0.55,0.51,0.525576,0.525576,1247885850,ADAUSD
2022-07-31,0.525593,0.54,0.51,0.51702,0.51702,875157898,ADAUSD
2022-08-01,0.517051,0.53,0.5,0.514123,0.514123,647889797,ADAUSD
2022-08-02,0.513907,0.51,0.49,0.496833,0.496833,709947033,ADAUSD
2022-08-03,0.496866,0.52,0.49,0.500988,0.500988,553477710,ADAUSD
2022-08-04,0.500975,0.51,0.49,0.499668,0.499668,499753654,ADAUSD
2022-08-05,0.499582,0.52,0.5,0.517503,0.517503,536832135,ADAUSD
2022-08-06,0.517564,0.52,0.51,0.511256,0.511256,370884770,ADAUSD
2022-08-07,0.511372,0.54,0.51,0.52747,0.52747,495713645,ADAUSD
2022-08-08,0.527488,0.55,0.52,0.536596,0.536596,782794306,ADAUSD
2022-08-09,0.536656,0.54,0.51,0.514052,0.514052,636681258,ADAUSD
2022-08-10,0.513992,0.54,0.5,0.537093,0.537093,816259967,ADAUSD
2022-08-11,0.537104,0.55,0.53,0.531258,0.531258,819277170,ADAUSD
2022-08-12,0.531195,0.54,0.52,0.540753,0.540753,538287825,ADAUSD
2022-08-13,0.540708,0.57,0.54,0.559813,0.559813,930190208,ADAUSD
2022-08-14,0.559819,0.59,0.56,0.570343,0.570343,1180283864,ADAUSD
2022-08-15,0.570386,0.58,0.55,0.551171,0.551171,876107175,ADAUSD
2022-08-16,0.551004,0.57,0.55,0.557915,0.557915,734187541,ADAUSD
2022-08-17,0.557921,0.58,0.53,0.537038,0.537038,1035477916,ADAUSD
2022-08-18,0.5373,0.54,0.51,0.512633,0.512633,642877241,ADAUSD
2022-08-19,0.512698,0.51,0.45,0.45098,0.45098,1294433367,ADAUSD
2022-08-20,0.450875,0.46,0.44,0.451388,0.451388,792647751,ADAUSD
2022-08-21,0.451266,0.47,0.45,0.463546,0.463546,616272980,ADAUSD
2022-08-22,0.463536,0.46,0.44,0.461446,0.461446,722091304,ADAUSD
2022-08-23,0.461483,0.47,0.45,0.465207,0.465207,562953519,ADAUSD
2022-08-24,0.465182,0.47,0.45,0.458109,0.458109,494717036,ADAUSD
2022-08-25,0.458108,0.47,0.46,0.464999,0.464999,525337287,ADAUSD
2022-08-26,0.464959,0.48,0.43,0.430863,0.430863,1299179883,ADAUSD
2022-08-27,0.431039,0.45,0.43,0.449703,0.449703,733099946,ADAUSD
2022-08-28,0.449719,0.45,0.43,0.430049,0.430049,519341943,ADAUSD
2022-08-29,0.43007,0.45,0.43,0.450703,0.450703,587946527,ADAUSD
2022-08-30,0.450736,0.46,0.44,0.452169,0.452169,640051711,ADAUSD
2022-08-31,0.452263,0.46,0.45,0.446665,0.446665,521553602,ADAUSD
2022-09-01,0.446677,0.46,0.44,0.457481,0.457481,582859437,ADAUSD
2022-09-02,0.457464,0.47,0.45,0.454559,0.454559,525812957,ADAUSD
2022-09-03,0.454534,0.48,0.45,0.480387,0.480387,778592386,ADAUSD
2022-09-04,0.480372,0.51,0.48,0.503084,0.503084,907968827,ADAUSD
